t,value
1653361215,0
1653361245,0
1653361275,0
1653361305,0
1653361335,0
1653361365,0
1653361395,0
1653361425,0
1653361455,0
1653361485,0
1653361515,0
1653361545,0
1653361575,0
1653361605,0
1653361635,0
1653361665,0
1653361695,0
1653361725,0
1653361755,0
1653361785,0
1653361815,0
1653361845,0
1653361875,0
1653361905,0
1653361935,0
1653361965,0
1653361995,0
1653362025,0
1653362055,0
1653362085,0
1653362115,0
1653362145,0
1653362175,0
1653362205,0
1653362235,0
1653362265,0
1653362295,0
1653362325,0
1653362355,0
1653362385,0
1653362415,0
1653362445,0
1653364267,0
1653364297,0
1653365232,0
1653365262,0
1653366554,0
1653366584,0
1653366614,0
1653366644,0
1653366674,0
1653366704,0
1653366734,0
1653366764,0
1653366794,0
1653366824,0
1653366854,0
1653366884,0
1653366914,0
1653366944,0
1653366974,0
1653367004,0
1653367034,0
1653367064,0
1653367094,0
1653367124,0
1653367154,0
1653367184,0
1653367214,0
1653367244,0
1653367274,0
1653367304,0
1653367334,0
1653367400,0
1653367430,0
1653367460,0
1653367490,0
1653367520,0
1653367550,0
1653367580,0
1653367610,0
1653367640,0
1653367670,0
1653367700,0
1653367730,0
1653367760,0
1653367790,0
1653367848,0
1653367878,0
1653367908,0
1653367938,0
1653367968,0
1653367998,0
1653368028,0
1653368058,0
1653368088,0
1653368118,0
1653368148,0
1653368178,0
1653368208,0
1653368238,0
1653369096,0
1653369126,0
1653369156,0
1653369186,0
1653369216,0
1653369246,0
1653369276,0
1653369306,0
1653369336,0
1653369366,0
1653369396,0
1653412459,0
1653412489,0
1653412519,0
1653412549,0
1653412579,0
1653412609,0
1653412639,0
1653412669,0
1653412699,0
1653412729,0
1653412759,0
1653412789,0
1653412819,0
1653412849,0
1653412879,0
1653412909,0
1653412939,0
1653412969,0
1653412999,0
1653413029,0
1653413059,0
1653413089,0
1653413119,0
1653413149,0
1653413179,0
1653413209,0
1653413239,0
1653413269,0
1653413299,0
1653413329,0
1653413359,0
1653413527,0
1653413557,0
1653413619,0
1653413649,0
1653413679,0
1653413709,0
1653413739,0
1653413769,0
1653413799,0
1653418939,0
1653418969,0
1653418999,0
1653419029,0
1653419059,0
1653419089,0
1653419119,0
1653419149,0
1653419179,0
1653419209,0
1653419239,0
1653419269,0
1653419299,0
1653419329,0
1653419359,0
1653419389,0
1653419419,0
1653419449,0
1653419479,0
1653419509,0
1653419539,0
1653419569,0
1653419599,0
1653419629,0
1653419659,0
1653419689,0
1653419719,0
1653419749,0
1653419779,0
1653419809,0
1653419839,0
1653419869,0
1653419899,0
1653419929,0
1653419959,0
1653419989,0
1653420019,0
1653420049,0
1653420079,0
1653421600,0
1653421630,0
1653421660,0
1653421690,0
1653421720,0
1653421750,0
1653421780,0
1653421810,0
1653421840,0
1653421870,0
1653421900,0
1653421930,0
1653421960,0
1653421990,0
1653422020,0
1653422050,0
1653422080,0
1653422110,0
1653422140,0
1653422170,0
1653422200,0
1653422230,0
1653422260,0
1653422290,0
1653422320,0
1653422397,0
1653422427,0
1653422457,0
1653422487,0
1653422517,0
1653422547,0
1653422577,0
1653422607,0
1653422637,0
1653422667,0
1653422697,0
1653422727,0
1653422757,0
1653422787,0
1653422817,0
1653422847,0
1653422877,0
1653422907,0
1653422937,0
1653422967,0
1653422997,0
1653423027,0
1653423057,0
1653423087,0
1653423117,0
1653423147,0
1653423177,0
1653423207,0
1653423237,0
1653423267,0
1653423297,0
1653423327,0
1653423357,0
1653423387,0
1653423417,0
1653423447,0
1653423477,0
1653423507,0
1653423537,0
1653423567,0
1653423597,0
1653423627,0
1653423657,0
1653423687,0
1653423717,0
1653423747,0
1653423777,0
1653423807,0
1653423837,0
1653423867,0
1653423897,0
1653423927,0
1653423957,0
1653423987,0
1653424017,0
1653424047,0
1653424077,0
1653424107,0
1653424137,0
1653424167,0
1653424197,0
1653424227,0
1653424257,0
1653424287,0
1653424317,0
1653424347,0
1653424377,0
1653424407,0
1653424437,0
1653425326,0
1653425356,0
1653425436,0
1653425466,0
1653425496,0
1653425526,0
