t,value
1653361215,163227200
1653361245,163359664
1653361275,165551680
1653361305,165754152
1653361335,168020176
1653361365,168149104
1653361395,174942088
1653361425,175090096
1653361455,175231432
1653361485,177415096
1653361515,181985592
1653361545,184125984
1653361575,184145272
1653361605,184182480
1653361635,202210784
1653361665,202271048
1653361695,204409064
1653361725,204440088
1653361755,149411128
1653361785,151574256
1653361815,156178416
1653361845,158381008
1653361875,158398648
1653361905,158426576
1653361935,160579032
1653361965,160616920
1653361995,165107528
1653362025,165143400
1653362055,167309056
1653362085,167361120
1653362115,167382760
1653362145,167411688
1653362175,173962592
1653362205,173993808
1653362235,176134032
1653362265,176176848
1653362295,176201168
1653362325,176208184
1653362355,182780664
1653362385,182811120
1653362415,182860552
1653362445,184989872
1653364267,185085336
1653364297,185151736
1653365232,193973304
1653365262,194018320
1653366554,200510152
1653366584,200537512
1653366614,200577592
1653366644,202693016
1653366674,202711560
1653366704,202726088
1653366734,167723496
1653366764,167738280
1653366794,169853672
1653366824,169862424
1653366854,169870104
1653366884,169873560
1653366914,176390016
1653366944,176410104
1653366974,176414496
1653367004,178527744
1653367034,178537344
1653367064,178543568
1653367094,194099712
1653367124,194110640
1653367154,196237528
1653367184,196308336
1653367214,196331472
1653367244,196357112
1653367274,202901936
1653367304,202906928
1653367334,202922792
1653367400,156553360
1653367430,158805888
1653367460,158929240
1653367490,159104224
1653367520,161445528
1653367550,161508712
1653367580,176185920
1653367610,149518376
1653367640,149589056
1653367670,147967864
1653367700,148014040
1653367730,148064736
1653367760,174784664
1653367790,174825792
1653367848,148372424
1653367878,156170344
1653367908,156331552
1653367938,156455400
1653367968,158805952
1653367998,158904288
1653368028,159019552
1653368058,174930160
1653368088,148710824
1653368118,148852864
1653368148,150995960
1653368178,151016000
1653368208,151077520
1653368238,166824456
1653369096,150358272
1653369126,155683224
1653369156,157944944
1653369186,158109576
1653369216,158244536
1653369246,158379576
1653369276,158465856
1653369306,156542336
1653369336,156576240
1653369366,156660952
1653369396,156707128
1653412459,154674944
1653412489,154801920
1653412519,157033312
1653412549,157226296
1653412579,159506320
1653412609,159595560
1653412639,177750424
1653412669,177883424
1653412699,180083560
1653412729,180240752
1653412759,180275176
1653412789,182414328
1653412819,198303504
1653412849,200456184
1653412879,200492128
1653412909,200564488
1653412939,146074952
1653412969,148229552
1653412999,165998880
1653413029,168140536
1653413059,168170736
1653413089,168245528
1653413119,170372928
1653413149,170391856
1653413179,186027160
1653413209,188140512
1653413239,188153048
1653413269,188213032
1653413299,188258736
1653413329,190449760
1653413359,205924416
1653413527,194328696
1653413557,194442544
1653413619,150095536
1653413649,145943768
1653413679,146093280
1653413709,148365016
1653413739,148521064
1653413769,166736784
1653413799,166804248
1653418939,173857760
1653418969,173981400
1653418999,176223376
1653419029,176367816
1653419059,178671928
1653419089,178738464
1653419119,162642712
1653419149,162720672
1653419179,162830328
1653419209,164985584
1653419239,165014200
1653419269,165093256
1653419299,193862688
1653419329,193909840
1653419359,196073768
1653419389,196112336
1653419419,196126112
1653419449,198277320
1653419479,181446144
1653419509,181483952
1653419539,181548784
1653419569,183693952
1653419599,183751312
1653419629,183786136
1653419659,168682008
1653419689,168727160
1653419719,168796520
1653419749,168810928
1653419779,170943000
1653419809,170974656
1653419839,199212976
1653419869,199218864
1653419899,199285488
1653419929,199309248
1653419959,199330680
1653419989,201466256
1653420019,185736992
1653420049,185778712
1653420079,185813688
1653421600,187928672
1653421630,194421512
1653421660,194451336
1653421690,174649056
1653421720,174683432
1653421750,174717712
1653421780,176844768
1653421810,202835424
1653421840,202838496
1653421870,202846816
1653421900,202865832
1653421930,202869160
1653421960,202874936
1653421990,188954352
1653422020,189026112
1653422050,189079576
1653422080,189095664
1653422110,189136352
1653422140,189153144
1653422170,175547400
1653422200,175549896
1653422230,175558360
1653422260,175595904
1653422290,177701320
1653422320,177817568
1653422397,205977792
1653422427,205978560
1653422457,184439056
1653422487,184466576
1653422517,186571400
1653422547,186576080
1653422577,186601480
1653422607,172702336
1653422637,172737696
1653422667,172755488
1653422697,174860448
1653422727,174862216
1653422757,174871648
1653422787,200524720
1653422817,200530096
1653422847,200531480
1653422877,202685224
1653422907,202722728
1653422937,202743744
1653422967,184690272
1653422997,184702496
1653423027,184745856
1653423057,184757120
1653423087,184759296
1653423117,184767104
1653423147,168608872
1653423177,170726120
1653423207,170730216
1653423237,170747880
1653423267,170751080
1653423297,170751976
1653423327,196374216
1653423357,196397792
1653423387,198514784
1653423417,198542200
1653423447,198551344
1653423477,198575640
1653423507,181945000
1653423537,181978256
1653423567,184104176
1653423597,184107480
1653423627,184114904
1653423657,184118976
1653423687,214062240
1653423717,214070152
1653423747,214070152
1653423777,214071688
1653423807,170524760
1653423837,170529112
1653423867,198241568
1653423897,198241568
1653423927,198251936
1653423957,198253600
1653423987,200353696
1653424017,200353696
1653424047,182495456
1653424077,182511072
1653424107,182567024
1653424137,184669552
1653424167,184685688
1653424197,184690368
1653424227,212268208
1653424257,212275344
1653424287,214387544
1653424317,214413272
1653424347,194106176
1653424377,194112320
1653424407,196214464
1653424437,196214464
1653425326,144864160
1653425356,162969608
1653425436,166614800
1653425466,189975712
1653425496,194522048
1653425526,194637376
