t,value
1653361215,37
1653361245,33
1653361275,32
1653361305,32
1653361335,34
1653361365,34
1653361395,39
1653361425,36
1653361455,36
1653361485,36
1653361515,40
1653361545,37
1653361575,37
1653361605,37
1653361635,40
1653361665,37
1653361695,39
1653361725,37
1653361755,37
1653361785,37
1653361815,40
1653361845,37
1653361875,37
1653361905,37
1653361935,37
1653361965,37
1653361995,40
1653362025,37
1653362055,37
1653362085,37
1653362115,37
1653362145,37
1653362175,40
1653362205,37
1653362235,37
1653362265,37
1653362295,37
1653362325,37
1653362355,40
1653362385,37
1653362415,37
1653362445,37
1653364267,37
1653364297,37
1653365232,40
1653365262,37
1653366554,40
1653366584,37
1653366614,37
1653366644,37
1653366674,37
1653366704,37
1653366734,41
1653366764,37
1653366794,37
1653366824,37
1653366854,37
1653366884,37
1653366914,40
1653366944,37
1653366974,37
1653367004,37
1653367034,37
1653367064,37
1653367094,40
1653367124,37
1653367154,37
1653367184,37
1653367214,37
1653367244,37
1653367274,40
1653367304,37
1653367334,37
1653367400,37
1653367430,33
1653367460,32
1653367490,32
1653367520,34
1653367550,34
1653367580,40
1653367610,36
1653367640,36
1653367670,36
1653367700,37
1653367730,37
1653367760,40
1653367790,37
1653367848,28
1653367878,38
1653367908,33
1653367938,32
1653367968,32
1653367998,34
1653368028,34
1653368058,40
1653368088,36
1653368118,36
1653368148,36
1653368178,37
1653368208,37
1653368238,41
1653369096,29
1653369126,39
1653369156,34
1653369186,33
1653369216,33
1653369246,35
1653369276,35
1653369306,41
1653369336,37
1653369366,37
1653369396,37
1653412459,38
1653412489,33
1653412519,32
1653412549,32
1653412579,34
1653412609,34
1653412639,40
1653412669,36
1653412699,36
1653412729,36
1653412759,37
1653412789,37
1653412819,40
1653412849,37
1653412879,37
1653412909,37
1653412939,37
1653412969,37
1653412999,40
1653413029,37
1653413059,37
1653413089,37
1653413119,37
1653413149,37
1653413179,41
1653413209,37
1653413239,37
1653413269,37
1653413299,37
1653413329,37
1653413359,40
1653413527,38
1653413557,33
1653413619,28
1653413649,38
1653413679,33
1653413709,32
1653413739,32
1653413769,40
1653413799,36
1653418939,38
1653418969,33
1653418999,32
1653419029,32
1653419059,34
1653419089,34
1653419119,39
1653419149,36
1653419179,36
1653419209,36
1653419239,37
1653419269,37
1653419299,41
1653419329,37
1653419359,37
1653419389,37
1653419419,37
1653419449,37
1653419479,41
1653419509,37
1653419539,37
1653419569,37
1653419599,37
1653419629,37
1653419659,40
1653419689,37
1653419719,37
1653419749,37
1653419779,37
1653419809,37
1653419839,41
1653419869,37
1653419899,39
1653419929,37
1653419959,37
1653419989,37
1653420019,40
1653420049,37
1653420079,37
1653421600,37
1653421630,40
1653421660,37
1653421690,40
1653421720,37
1653421750,37
1653421780,37
1653421810,40
1653421840,37
1653421870,37
1653421900,37
1653421930,37
1653421960,37
1653421990,41
1653422020,37
1653422050,37
1653422080,37
1653422110,37
1653422140,37
1653422170,41
1653422200,37
1653422230,37
1653422260,37
1653422290,37
1653422320,37
1653422397,40
1653422427,37
1653422457,40
1653422487,37
1653422517,37
1653422547,37
1653422577,37
1653422607,40
1653422637,37
1653422667,37
1653422697,37
1653422727,37
1653422757,37
1653422787,40
1653422817,37
1653422847,37
1653422877,37
1653422907,37
1653422937,37
1653422967,40
1653422997,37
1653423027,37
1653423057,37
1653423087,37
1653423117,37
1653423147,40
1653423177,37
1653423207,37
1653423237,37
1653423267,37
1653423297,37
1653423327,40
1653423357,37
1653423387,37
1653423417,37
1653423447,37
1653423477,37
1653423507,40
1653423537,37
1653423567,37
1653423597,37
1653423627,37
1653423657,37
1653423687,40
1653423717,37
1653423747,37
1653423777,37
1653423807,37
1653423837,37
1653423867,40
1653423897,37
1653423927,37
1653423957,37
1653423987,37
1653424017,37
1653424047,40
1653424077,37
1653424107,37
1653424137,37
1653424167,37
1653424197,37
1653424227,40
1653424257,37
1653424287,37
1653424317,37
1653424347,40
1653424377,37
1653424407,37
1653424437,37
1653425326,28
1653425356,38
1653425436,28
1653425466,39
1653425496,33
1653425526,32
